,,,,wild cat,domestic cat
Intestine length ,,,,8.73,5.6
cranial volume,,,,5.23,6.32
cranial index,,,,4.67,7.21
tibia length,,,,5.92,5.67
length C1,,,,7.42,8.19
hind foot length,,,,5.44,6.4
greatest length of P4,,,,3.6,6
femur length,,,,6.56,6.2
length between mandibular P3 and M1,,,,4.37,5.78
length of enamel C1,,,,12.1,8.48
humerus length,,,,6.23,5.46
greatest breadth of P4,,,,5.45,8.16
ulna length,,,,7.22,5.19
tail length,,,,6.38,8.56
rood of C1,,,,9.44,1.3
greatest width of the braincase,,,,3.25,3.7
greatest breadth of the foremen magnum,,,,4.24,6.3
greatest breadth of the occipital condyles,,,,4.26,5.58
length between P2 and P4,,,,4.05,5.15
mastoid breadth,,,,5.03,4.86
zygomatic breadth,,,,7.33,5.69
head trunk length,,,,9.56,8.7
least breadth of the postorbital constriction,,,,4.39,4.92
height of ramus,,,,10.3,7.82
least breadth between the orbits,,,,7.81,6.78
maximum width of mandubular condyles,,,,10.2,5.18
length between P2 and M1,,,,3.85,5.65
facial length,,,,5.45,9.5
